32.000000000	1.1
33.000000000	1.2
34.000000000	1.3
35.000000000	1.4
36.000000000	2.1
37.000000000	2.2
38.000000000	2.3
39.000000000	2.4
40.000000000	3.1
41.000000000	3.2
42.000000000	3.3
43.000000000	3.4
44.000000000	4.1
45.000000000	4.2
48.000000000	4.4
49.000000000	5.1
50.000000000	5.2
51.000000000	5.3
52.000000000	5.4
53.000000000	6.1
54.000000000	6.2
55.000000000	6.3
56.000000000	6.4
57.000000000	7.1
58.000000000	8.3
59.000000000	8.4
60.000000000	9.1
61.000000000	9.2
62.000000000	9.3
63.000000000	9.4
64.000000000	10.1
65.000000000	10.2
66.000000000	10.3
67.000000000	10.4
68.000000000	11.1
69.000000000	11.2
70.000000000	11.3
71.000000000	11.4
72.000000000	12.1
73.000000000	12.2
74.000000000	12.3
75.000000000	12.4
76.000000000	13.1
77.000000000	13.2
80.000000000	13.4
81.000000000	14.1
82.000000000	14.2
83.000000000	14.3
84.000000000	14.4
85.000000000	15.1
86.000000000	15.2
87.000000000	15.3
88.000000000	15.4
89.000000000	16.1
90.000000000	16.2
91.000000000	16.3
92.000000000	16.4
93.000000000	17.1
94.000000000	17.2
95.000000000	17.3
96.000000000	17.4
97.000000000	18.1
98.000000000	18.2
99.000000000	18.3
100.000000000	18.4
101.000000000	19.1
102.000000000	19.2
103.000000000	19.3
104.000000000	19.4
105.000000000	20.1
106.000000000	20.2
107.000000000	20.3
112.000000000	20.4
113.000000000	20.5
114.000000000	21.1
115.000000000	21.2
116.000000000	21.3
117.000000000	21.4
118.000000000	22.1
119.000000000	22.2
120.000000000	23.4
121.000000000	24.1
122.000000000	24.3
123.000000000	24.4
124.000000000	25.1
125.000000000	25.2
126.000000000	25.3
127.000000000	25.4
128.000000000	26.1
129.000000000	26.2
130.000000000	26.3
131.000000000	26.4
132.000000000	27.1
133.000000000	27.2
134.000000000	27.3
135.000000000	27.4
136.000000000	28.1
137.000000000	28.2
138.000000000	28.3
139.000000000	28.4
140.000000000	29.1
141.000000000	29.2
144.000000000	29.4
145.000000000	30.1
146.000000000	30.2
147.000000000	30.3
148.000000000	30.4
149.000000000	31.1
150.000000000	31.2
151.000000000	31.3
152.000000000	31.4
153.000000000	32.1
154.000000000	32.2
155.000000000	32.3
156.000000000	32.4
157.000000000	33.1
158.000000000	33.2
159.000000000	33.3
160.000000000	33.4
161.000000000	34.1
162.000000000	34.2
163.000000000	34.3
164.000000000	34.4
165.000000000	35.1
166.000000000	35.2
167.000000000	35.3
168.000000000	35.4
169.000000000	35.5
170.000000000	36.1
171.000000000	36.2
172.000000000	36.3
172.000000000	36.4
173.000000000	37.1
192.000000000	37.3
193.000000000	37.4
194.000000000	38.1
195.000000000	38.2
196.000000000	38.3
197.000000000	38.4
198.000000000	39.1
199.000000000	39.2
200.000000000	39.3
201.000000000	39.4
202.000000000	40.1
203.000000000	40.2
204.000000000	40.3
205.000000000	40.4
206.000000000	41.1
207.000000000	41.2
208.000000000	41.3
209.000000000	41.4
210.000000000	42.1
211.000000000	42.2
212.000000000	42.3
213.000000000	42.4
214.000000000	42.5
215.000000000	43.1
216.000000000	43.2
217.000000000	43.3
218.000000000	43.4
219.000000000	44.1
220.000000000	44.2
221.000000000	44.4
224.000000000	45.2
225.000000000	45.3
226.000000000	45.4
227.000000000	46.1
228.000000000	46.2
229.000000000	46.3
230.000000000	46.4
231.000000000	47.1
232.000000000	47.2
233.000000000	47.3
234.000000000	47.4
235.000000000	48.1
236.000000000	48.2
237.000000000	48.3
238.000000000	48.4
239.000000000	49.1
240.000000000	49.2
241.000000000	49.3
242.000000000	49.4
243.000000000	50.1
244.000000000	50.2
245.000000000	50.3
246.000000000	50.4
247.000000000	51.1
248.000000000	51.2
249.000000000	51.3
250.000000000	53.2
251.000000000	53.3
252.000000000	53.4
253.000000000	54.1
254.000000000	54.2
255.000000000	54.3
